Community	CRank	Conductance	Modularity	Random
96_random	0.322952	0.769885	0.013210	0.651939
97_random	0.632736	0.727551	0.018469	0.134223
98_random	0.416082	0.974438	0.000140	0.889432
99_random	0.367770	0.739202	0.016956	0.676791
100_random	0.284178	0.948006	0.000667	0.820491
101_random	0.185593	0.873955	0.003969	0.995547
102_random	0.014341	0.964532	0.000314	0.166339
103_random	0.416082	0.994954	0.000001	0.658827
104_random	0.066069	0.900891	0.002436	0.900187
105_random	0.066069	0.958960	0.000413	0.439483
106_random	0.816368	0.746112	0.016027	0.391950
107_random	0.466355	0.738723	0.017032	0.503474
108_random	0.632736	0.687973	0.024327	0.893625
109_random	0.185593	0.972735	0.000154	0.155320
110_random	0.534150	0.711513	0.020730	0.460234
111_random	0.284178	0.939614	0.000882	0.157324
112_random	0.185593	0.916390	0.001744	0.146595
113_random	0.255157	0.764718	0.013830	0.815041
114_random	0.299974	0.770842	0.013064	0.397256
115_random	0.466355	0.742910	0.016490	0.675318
116_random	0.416082	0.993367	0.000009	0.066499
117_random	0.632736	0.752333	0.015257	0.651581
118_random	0.416082	0.944037	0.000781	0.115190
119_random	0.232450	0.960182	0.000396	0.991167
120_random	0.271224	0.788912	0.011127	0.536045
121_random	0.367770	0.775652	0.012569	0.304883
122_random	0.632736	0.747868	0.015809	0.163504
123_random	0.535605	0.996790	0.000002	0.005950
124_random	0.316042	0.749369	0.015667	0.008790
125_random	0.232450	0.961818	0.000363	0.733520
126_random	0.117797	0.979765	0.000081	0.273350
